cell,corners,centroid,auxin,area,meristematic,pericycle,centroid_y,distance,tick
227,"[[54, 141], [54, 144], [57, 144], [57, 141]]","[55.5, 142.5]",189.085,9,True,True,142.5,1.1666666666666856,24
289,"[[54, 161], [54, 166], [57, 166], [57, 161]]","[55.5, 163.5]",171.296,15,True,True,163.5,2.666666666666657,24
321,"[[54, 175], [54, 180], [57, 180], [57, 175]]","[55.5, 177.5]",152.659,15,True,True,177.5,0.5,24
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",392.194,9,True,True,84.5,9.5,25
95,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",295.737,9,True,True,94.5,2.3333333333333286,25
127,"[[54, 104], [54, 109], [57, 109], [57, 104]]","[55.5, 106.5]",246.884,15,True,True,106.5,2.833333333333343,25
177,"[[54, 127], [54, 132], [57, 132], [57, 127]]","[55.5, 129.5]",230.51,15,True,True,129.5,3.0,25
209,"[[54, 141], [54, 146], [57, 146], [57, 141]]","[55.5, 143.5]",196.989,15,True,True,143.5,0.16666666666668561,25
259,"[[54, 160], [54, 164], [57, 164], [57, 160]]","[55.5, 162.0]",170.376,12,True,True,162.0,1.1666666666666572,25
291,"[[54, 172], [54, 178], [57, 178], [57, 172]]","[55.5, 175.0]",167.637,18,True,True,175.0,3.0,25
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",417.739,9,True,True,84.5,9.5,26
79,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",320.58,9,True,True,89.5,2.6666666666666714,26
126,"[[54, 105], [54, 110], [57, 110], [57, 105]]","[55.5, 107.5]",253.953,15,True,True,107.5,1.8333333333333428,26
173,"[[54, 122], [54, 128], [57, 128], [57, 122]]","[55.5, 125.0]",240.972,18,True,True,125.0,1.5,26
205,"[[54, 138], [54, 144], [57, 144], [57, 138]]","[55.5, 141.0]",184.213,18,True,True,141.0,2.6666666666666856,26
255,"[[54, 161], [54, 166], [57, 166], [57, 161]]","[55.5, 163.5]",171.417,15,True,True,163.5,2.666666666666657,26
287,"[[54, 175], [54, 180], [57, 180], [57, 175]]","[55.5, 177.5]",154.528,15,True,True,177.5,0.5,26
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",418.069,9,True,True,84.5,9.5,27
79,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",320.231,9,True,True,89.5,2.6666666666666714,27
125,"[[54, 105], [54, 111], [57, 111], [57, 105]]","[55.5, 108.0]",255.043,18,True,True,108.0,1.3333333333333428,27
171,"[[54, 125], [54, 128], [57, 128], [57, 125]]","[55.5, 126.5]",225.533,9,True,True,126.5,0.0,27
219,"[[54, 144], [54, 151], [57, 151], [57, 144]]","[55.5, 147.5]",203.066,21,True,True,147.5,3.8333333333333144,27
251,"[[54, 162], [54, 168], [57, 168], [57, 162]]","[55.5, 165.0]",177.683,18,True,True,165.0,4.166666666666657,27
267,"[[54, 170], [54, 176], [57, 176], [57, 170]]","[55.5, 173.0]",164.86,18,True,True,173.0,5.0,27
