tick,cell_id,cx,cy,y_min,y_max,auxin
3,315,56.5,161.54832563681387,159.01837347576205,164.0782777978657,60.7201
3,322,85.5,161.54832563681387,159.01837347576205,164.0782777978657,60.7201
3,329,56.5,166.60822995891752,164.0782777978657,169.13818211996934,60.7201
3,336,85.5,166.60822995891752,164.0782777978657,169.13818211996934,60.7201
3,343,56.5,171.66813428102114,169.13818211996934,174.19808644207296,60.7201
3,350,85.5,171.66813428102114,169.13818211996934,174.19808644207296,60.7201
3,357,56.5,176.7280386031248,174.19808644207296,179.2579907641766,60.7201
3,364,85.5,176.7280386031248,174.19808644207296,179.2579907641766,60.7201
3,371,56.5,181.78794292522844,179.2579907641766,184.31789508628026,60.7201
3,378,85.5,181.78794292522844,179.2579907641766,184.31789508628026,60.7201
3,385,56.5,186.84784724733208,184.31789508628026,189.37779940838394,60.7201
3,392,85.5,186.84784724733208,184.31789508628026,189.37779940838394,60.7201
3,399,56.5,191.90775156943576,189.37779940838394,194.43770373048758,60.7201
3,406,85.5,191.90775156943576,189.37779940838394,194.43770373048758,60.7201
3,413,56.5,196.9676558915394,194.43770373048758,199.49760805259123,60.7201
3,420,85.5,196.9676558915394,194.43770373048758,199.49760805259123,60.7201
3,427,56.5,202.02756021364306,199.49760805259123,204.55751237469488,60.7201
3,434,85.5,202.02756021364306,199.49760805259123,204.55751237469488,60.7201
3,441,56.5,207.0874645357467,204.55751237469488,209.61741669679853,60.7201
3,448,85.5,207.0874645357467,204.55751237469488,209.61741669679853,60.7201
3,455,56.5,212.14736885785035,209.61741669679853,214.67732101890218,60.7201
3,462,85.5,212.14736885785035,209.61741669679853,214.67732101890218,60.7201
3,469,56.5,217.207273179954,214.67732101890218,219.73722534100582,60.7201
3,476,85.5,217.207273179954,214.67732101890218,219.73722534100582,60.7201
3,483,56.5,222.26717750205765,219.73722534100582,224.79712966310947,60.7201
3,490,85.5,222.26717750205765,219.73722534100582,224.79712966310947,60.7201
3,497,56.5,227.3270818241613,224.79712966310947,229.85703398521312,60.7201
3,504,85.5,227.3270818241613,224.79712966310947,229.85703398521312,60.7201
3,511,56.5,232.38698614626495,229.85703398521312,234.91693830731677,60.7199
3,518,85.5,232.38698614626495,229.85703398521312,234.91693830731677,60.7199
3,525,56.5,237.4468904683686,234.91693830731677,239.97684262942042,60.6348
3,532,85.5,237.4468904683686,234.91693830731677,239.97684262942042,60.6348
3,539,56.5,242.50679479047224,239.97684262942042,245.03674695152407,40.9434
3,546,85.5,242.50679479047224,239.97684262942042,245.03674695152407,40.9434
3,553,56.5,247.5666991125759,245.03674695152407,250.0966512736277,21.353
3,560,85.5,247.5666991125759,245.03674695152407,250.0966512736277,21.353
3,567,56.5,252.62660343467954,250.0966512736277,255.15655559573136,21.3245
3,574,85.5,252.62660343467954,250.0966512736277,255.15655559573136,21.3245
3,581,56.5,257.68650775678316,255.15655559573136,260.216459917835,21.3408
3,588,85.5,257.68650775678316,255.15655559573136,260.216459917835,21.3408
3,595,56.5,262.7464120788868,260.216459917835,265.2763642399386,21.3245
3,602,85.5,262.7464120788868,260.216459917835,265.2763642399386,21.3245
3,609,56.5,267.80631640099045,265.2763642399386,270.3362685620423,21.3408
3,616,85.5,267.80631640099045,265.2763642399386,270.3362685620423,21.3408
3,623,56.5,272.8662207230941,270.3362685620423,275.3961728841459,21.3116
